,names,logfoldchanges,pvals_adj,group
211,Cxcl16,-0.611739,2.389641637596075e-87,near-Br
212,Vwf,-0.7137194,1.2200776998601449e-95,near-Br
213,Lamc2,-0.9431434,1.562030932299278e-161,near-Br
214,Spp1,-1.1521566,5.368145709435691e-215,near-Br
215,Icam2,-1.1264868,7.45566857991163e-246,near-Br
216,Il33,-1.2669238,1.3228856003046106e-297,near-Br
217,Icam1,-1.0753094,6.764666727571047e-300,near-Br
218,Ptprc,-1.2535387,0.0,near-Br
219,H2-DMb2,-1.29737,0.0,near-Br
220,Tgfb1,-1.4869636,0.0,near-Br
221,Cdh5,-1.7531819,0.0,near-Br
222,Col4a1,-1.4391599,0.0,near-Br
223,H2-Ab1,-1.7221872,0.0,near-Br
224,Pecam1,-1.9067215,0.0,near-Br
225,Cdh5,2.4630575,0.0,far
226,Col4a1,1.9442692,0.0,far
227,Pecam1,1.9456818,0.0,far
228,Icam2,1.4513398,0.0,far
229,Icam1,1.1467476,0.0,far
230,Vwf,1.222735,0.0,far
231,Il33,1.1382298,0.0,far
232,Spp1,1.1251786,5.931136542964994e-285,far
233,Lamc2,1.0524731,2.8858072024624687e-274,far
234,F11r,0.8274966,2.2416839993220844e-205,far
235,Lama3,0.95792073,7.438639401098781e-169,far
236,Cd34,0.7410626,9.475315783682623e-147,far
237,Tgfb1,0.7346976,3.598707401970417e-140,far
238,Dll1,0.9150242,3.953298024141839e-119,far
239,Dll4,0.77133197,5.816493546310067e-112,far
240,Fn1,0.5419947,1.4393843787941716e-110,far
241,Tnc,0.7163583,3.4755500487414933e-104,far
242,Jam2,0.6090175,2.311315644489414e-90,far
243,Cxcl12,0.51776105,2.568183783145961e-56,far
244,Il18,0.67297035,4.14039675686848e-40,far
245,Cd274,0.46700275,4.899466196861699e-33,far
246,Il1b,0.62530464,1.2096300921092614e-32,far
247,Gdnf,0.7334103,2.2914895481377296e-20,far
248,Cdh1,0.38565505,3.135456904889141e-17,far
249,Il15,0.24751855,8.058891372453889e-06,far
250,Tgfb2,0.19260025,1.1708055059307286e-05,far
251,Vtn,0.6073431,2.9456759730787674e-05,far
252,Lamb1,0.1140779,0.0008327153850516589,far
253,Gzma,0.5118043,0.0030394503548722817,far
254,Ccl3,0.34704444,0.003191156921052948,far
255,Tslp,0.23212056,0.005452967183557649,far
256,Lama1,0.42166525,0.018869181183118658,far
257,Pomc,0.12357284,0.05060659767424575,far
258,Cxcl16,0.12931156,0.14044742564320212,far
259,Ccl4,0.18074955,0.34201467044697453,far
260,Igf2,0.13316688,0.4005047480361657,far
261,Pdcd1lg2,0.035354286,0.493872671253474,far
262,Il4,0.09023305,0.5668669466146373,far
263,Cd8a,0.057089586,0.779655818869922,far
264,Il6,0.044639,0.8525591318867024,far
265,Ncam1,0.031571753,0.8583462245858827,far
266,Ccl25,-0.087365754,0.5437651334540162,far
267,Cxcl10,-0.11514825,0.34201467044697453,far
268,Ccl5,-0.098104104,0.06835384191453894,far
269,Adm,-0.2109718,0.05982389253279832,far
270,Il17a,-0.6405264,0.030208339309680393,far
271,Cx3cl1,-0.09214404,0.018476552318899907,far
272,Jam3,-0.23415643,0.008519849699325495,far
273,Areg,-0.22986256,0.003965536001035134,far
274,Cd80,-0.28553045,0.0021603374371912377,far
275,Sell,-0.19198759,9.139848672804785e-06,far
276,Il7,-0.51608866,6.238705212911674e-06,far
277,Nmb,-0.62259907,5.173108634485866e-06,far
278,Cxcl9,-0.43183282,1.508408473234771e-07,far
279,Cd86,-0.2351648,1.5347343689612825e-08,far
280,Cd226,-0.4357648,6.58877509295279e-09,far
281,Cd40lg,-0.9314848,1.7333324226577468e-11,far
282,Ccl20,-2.1065,3.0890092115742455e-15,far
283,Lama2,-0.2893895,2.965435825416846e-16,far
284,Ccl11,-0.43960702,6.077576405924869e-18,far
285,Cxcl13,-0.6109662,2.8740159232729464e-18,far
286,Lamc3,-1.1553717,4.8625572198017726e-23,far
287,Reln,-1.2835784,6.587676781448164e-24,far
288,Ccl19,-0.83543426,1.3912568321922214e-29,far
289,Ptprc,-0.3078539,7.430566203247184e-43,far
290,Flt3l,-0.5107215,4.245630930708051e-53,far
291,Ccl21a,-1.6252166,3.095293799713978e-115,far
292,Thy1,-0.94607395,4.153232878205414e-117,far
293,H2-DMb2,-0.51078963,9.77412600381398e-125,far
294,Icosl,-0.8631945,4.442035529250774e-161,far
295,Tgfb3,-0.8174982,2.2527998463097797e-186,far
296,H2-Ab1,-0.2019765,7.111759623231264e-190,far
297,C3,-0.52327216,3.042283234044081e-283,far
298,Col1a1,-1.0956236,0.0,far
299,Scgb3a2,-5.0349092,0.0,far
