,ligand,receptor,JS_Treg,JS_Th0,delta,frac_pos_Treg,frac_pos_Th0,mean_recep_Treg,mean_recep_Th0,mean_lig,n_Treg,n_Th0
40,Tnc,Itga9,0.7808091354812269,0.8373390710994475,-0.05652993561822062,0.10864485981308411,0.09036144578313253,0.8902848958969116,0.7534317970275879,1.6642721891403198,1712,1494
41,Pdcd1lg2,Pdcd1,0.6341061460944913,0.6910934232726605,-0.056987277178169204,0.25934579439252337,0.31994645247657294,2.2069292068481445,2.8488211631774902,0.5769128203392029,1712,1494
42,Lama3,Itga9,0.7878295383714184,0.8484754067307343,-0.060645868359315847,0.10864485981308411,0.09036144578313253,0.8902848958969116,0.7534317970275879,1.4434186220169067,1712,1494
43,Lamc2,Itga9,0.7822958492233935,0.8445191571542657,-0.062223307930872274,0.10864485981308411,0.09036144578313253,0.8902848958969116,0.7534317970275879,2.041736364364624,1712,1494
44,Lama3,Itga6,0.6717697648225733,0.7359620679335043,-0.06419230311093094,0.2570093457943925,0.24832663989290496,2.158313035964966,2.1624348163604736,1.4434186220169067,1712,1494
45,Il22,Il10rb,0.6915248807395322,0.7576347222512299,-0.06610984151169763,0.42406542056074764,0.2878179384203481,3.594878911972046,2.4941964149475098,0.025666043162345886,1712,1494
46,Itga4,Vcam1,0.6574367416333581,0.7238662256084865,-0.06642948397512838,0.2283878504672897,0.1746987951807229,1.935508131980896,1.5155448913574219,2.56325364112854,1712,1494
47,Ifng,Ifngr2,0.6702202710805503,0.7391863040381214,-0.06896603295757109,0.30899532710280375,0.2617135207496653,2.5833740234375,2.261052131652832,0.0498739629983902,1712,1494
48,Cdh5,Cdh5,0.6433066348779787,0.7128434951309769,-0.06953686025299821,0.2932242990654206,0.23761713520749667,2.539121150970459,2.119312286376953,5.267895221710205,1712,1494
49,Cd274,Pdcd1,0.6571586689105813,0.7272771111059912,-0.07011844219540997,0.25934579439252337,0.31994645247657294,2.2069292068481445,2.8488211631774902,1.0848660469055176,1712,1494
50,Itga4,Itgb1,0.4837967748192911,0.5541146176520939,-0.07031784283280279,0.6816588785046729,0.6572958500669344,6.052483558654785,6.162197113037109,2.56325364112854,1712,1494
51,Lamc2,Itga6,0.661072059512153,0.731533538313481,-0.07046147880132803,0.2570093457943925,0.24832663989290496,2.158313035964966,2.1624348163604736,2.041736364364624,1712,1494
52,Spp1,Itga9,0.781884355029268,0.8524104788697432,-0.07052612384047519,0.10864485981308411,0.09036144578313253,0.8902848958969116,0.7534317970275879,2.048954963684082,1712,1494
53,Cd40lg,Itgb3,0.641068762175891,0.7118062208233029,-0.07073745864741188,0.2716121495327103,0.16934404283801874,2.3167808055877686,1.4891140460968018,0.2085462510585785,1712,1494
54,Itgb2,Cd226,0.6122854669023834,0.6832129014789173,-0.07092743457653394,0.2932242990654206,0.2971887550200803,2.4995229244232178,2.5955822467803955,3.785571813583374,1712,1494
55,Lamc3,Itga3,0.7477900692959865,0.81890937923116,-0.07111930993517357,0.2324766355140187,0.14190093708165996,1.9567375183105469,1.2199097871780396,0.2575504779815674,1712,1494
56,Fn1,Itga5,0.7514254110828463,0.8238712059833877,-0.07244579490054137,0.1314252336448598,0.0823293172690763,1.0850181579589844,0.7042641043663025,5.665269374847412,1712,1494
