,ligand,receptor,JS_adventitia_CD4act,JS_TLS_CD4act,delta,frac_pos_adventitia_CD4act,frac_pos_TLS_CD4act,mean_recep_adventitia_CD4act,mean_recep_TLS_CD4act,mean_lig,n_adventitia_CD4act,n_TLS_CD4act
32,Lamc2,Itga9,0.8482637933607916,0.8697840725239656,-0.021520279163174005,0.10621387283236994,0.085,0.886751115322113,0.7144564986228943,2.041736364364624,1384,1200
33,Itgb2,Icam1,0.7360331710423015,0.7584595402153801,-0.02242636917307861,0.2622832369942196,0.2966666666666667,2.259542942047119,2.5714123249053955,3.785571813583374,1384,1200
34,Lama1,Itga6,0.8011221081950737,0.8239995386429289,-0.022877430447855174,0.21893063583815028,0.21833333333333332,1.875162959098816,1.8769882917404175,0.16024239361286163,1384,1200
35,Lamb1,Itga3,0.7995167357049628,0.8226673716065578,-0.02315063590159494,0.125,0.15833333333333333,1.0616308450698853,1.3570177555084229,1.9755010604858398,1384,1200
36,Icam1,Itgax,0.7962866894381591,0.8207549788503236,-0.0244682894121645,0.16835260115606937,0.195,1.4443682432174683,1.6973713636398315,4.34319543838501,1384,1200
37,Lama3,Itga1,0.8169495864762765,0.8421633475571996,-0.025213761080923103,0.14739884393063585,0.15666666666666668,1.2661675214767456,1.3544394969940186,1.4434186220169067,1384,1200
38,Col1a1,Itga3,0.775842845200006,0.8021040216985684,-0.02626117649856241,0.125,0.15833333333333333,1.0616308450698853,1.3570177555084229,3.2534241676330566,1384,1200
39,Cdh5,Cdh5,0.7853402425703568,0.8123071086811217,-0.02696686611076482,0.19869942196531792,0.2325,1.7362325191497803,2.0929646492004395,5.267895221710205,1384,1200
40,Lama1,Itga9,0.840459293290329,0.8679500720183264,-0.027490778727997434,0.10621387283236994,0.085,0.886751115322113,0.7144564986228943,0.16024239361286163,1384,1200
41,Lama3,Itga9,0.848614522935997,0.8765695791662299,-0.027955056230232866,0.10621387283236994,0.085,0.886751115322113,0.7144564986228943,1.4434186220169067,1384,1200
42,Il22,Il10rb,0.781546115211124,0.809596486882017,-0.02805037167089297,0.3475433526011561,0.3225,2.9798240661621094,2.7799270153045654,0.025666043162345886,1384,1200
43,Lamc2,Itga6,0.7968016718471259,0.8250047467419581,-0.028203074894832203,0.21893063583815028,0.21833333333333332,1.875162959098816,1.8769882917404175,2.041736364364624,1384,1200
44,Tnc,Itga9,0.8376439964880926,0.866361819672283,-0.02871782318419036,0.10621387283236994,0.085,0.886751115322113,0.7144564986228943,1.6642721891403198,1384,1200
45,Il25,Il17ra,0.814661040784329,0.8438490099216137,-0.02918796913728472,0.28901734104046245,0.2875,2.4770829677581787,2.4696121215820312,0.02267233282327652,1384,1200
46,Col4a1,Itga1,0.7958439675963228,0.8264343600703012,-0.030590392473978434,0.14739884393063585,0.15666666666666668,1.2661675214767456,1.3544394969940186,7.091513156890869,1384,1200
47,Spp1,Itgav,0.7669924815225886,0.7979081632014852,-0.030915681678896578,0.43786127167630057,0.4375,3.7998905181884766,3.8223869800567627,2.048954963684082,1384,1200
48,Calcb,Calcrl,0.7726410116036857,0.8036482872164712,-0.03100727561278549,0.36921965317919075,0.37833333333333335,3.3038880825042725,3.3974385261535645,0.02642304264008999,1384,1200
