Tcf7
Tnfaip8
Ankrd46
Fbl
Mrps6
Gpm6b
Prickle1
Zfp710
Cdc25b
Gm37004
Rpl38
Rpl31
Lrmp
Fhit
Rere
Hsp90ab1
Hspa1a
Tbxa2r
Dhfr
Rilpl2
Mctp2
Cct6a
Rps12
Sh3bp5
Sh2b3
Skap1
Mettl1
Csk
Arhgef18
Lck
Dgkz
Pabpc1
Nbn
Traf5
Ikzf1
Lta
4930481A15Rik
Ung
Fam162a
Tbc1d5
Nfatc1
Cd53
B4galnt1
Impdh2
Tnfsf11
Rpl11
Ube2r2
Icam2
Spred1
Gm44164
Dusp14
Rpl14
H2-Ob
Lamp1
Coprs
Itga4
Treml2
Tuba1b
Gm35188
Pitpnm2
Supt3
Gnl3
Cebpa
Inpp5f
Metap1d
Arhgap5
Ubac2
Ttc3
Pou2f2
Trim12a
Immp2l
Fyb
1190007I07Rik
St3gal1
Acap2
Slc29a1
Raf1
Cd247
Gm20324
Mapk11
Stat4
Rpl27
2610035D17Rik
Dip2b
Krt10
Gm34150
Slc25a13
Dusp10
Trbc1
Reck
Gimap1os
Ptrh1
A630023P12Rik
Cacna1d
Srsf7
Tmem184c
3110082I17Rik
Pdlim4
Gm5112
Rhoh
Tent5c
Npepl1
Chn2
Dph5
Abtb2
Brpf3
Nae1
Rasa3
Pecam1
Ttyh3
Map4k4
Bphl
Rpl37a
Rps25
Nadk2
Rps18-ps4
Fam49a
Msrb2
H2-Q2
Pik3cb
Cpsf6
Sting1
Siah3
Sqor
Hsdl1
Cbr1
Ebi3
Ryr1
Arhgap45
Tpmt
Lad1
Gm5475
1700048O20Rik
Tnfrsf23
5830444F18Rik
Plekho1
Tubb5
Gm4366
Zfp94
Ccnd3
Cyth3
Fam189b
Abcc4
Lsm3
6330403K07Rik
Zfp821
Stk4
Sptssa
Snrpf
Gm36445
A930029G22Rik
Lancl3
Cnot6l
Acsl3
Dnajc3
Rp9
Kif15
Pafah1b3
Lin52
Smap1
4632427E13Rik
Kif13a
Ankmy2
Vmac
Tbc1d1
Tnfsf8
Slfn2
Rpa1
Tmem245
Ctse
Mbtps1
Trat1
Npm1
Wdr36
Agpat3
5330438D12Rik
Phpt1
Ift80
Stk26
Sdhaf1
Sp110
Rgs10
Tnfrsf14
Tlcd4
Kpna2
Slc38a1
Arap2
Ddx39b
Cd3d
Themis
Rps6
Myo9b
Traf3ip2
Skp1a
Zfp975
Rack1
Tarbp1
Hmgn2
Srpk2
Zfp410
Stx11
Stx6
Cd84
Tfb1m
Snrpe
Max
Gm17173
Trpm6
Bcat1
Akap6
Gm10501
Mrpl21
Tmem220
Gstk1
Cd28
Pvt1
Batf
Trim59
Gm9844
Ltb
Mfsd6
Eri3
Decr1
Hmgb3
Rpl7l1
Borcs8
St7
Igf1r
Heatr5a
Trim2
Nkiras1
Srsf6
Wdr26
Ube2h
Pik3ip1
B3gnt2
2700049A03Rik
Zfp277
Idh2
Rac2
mt-Nd5
Anapc10
Gm14303
Ikzf2
Nav2
Prmt3
Susd1
Gm26520
Dars
Macrod1
Tuba1c
Fam78a
Kremen2
Gpr146
Tigd2
Mrpl24
Gm34006
Zfp408
Trbv13-1
Akr7a5
Pcgf5
Akr1e1
Pglyrp1
Trbv13-3
Thumpd2
2010016I18Rik
Sptbn1
Tff1
Dguok
Wdr6
Wdr59
Gm15500
Dip2c
Rasa2
Rpl4
Prr14l
Gpatch4
Chst14
Hspa1b
Trbj2-6
Kif13b
Sestd1
Mtf2
Trav6n-6
Jmjd8
Il1r2
Ppp2r5e
Cbx7
Itga6
Usp37
Pa2g4
Smtn
Gm14636
Gm36932
Gm47861
Gm20234
Tmem38b
Tgfbr3
Ezh2
Zfp119a
Ctdnep1
Cwc27
Ifnar2
Tesc
mt-Rnr1
Hnrnpa0
Slc2a6
Slc11a2
Adora2a
Smim4
Atp5g2
Akap9
Smc4
Kif1b
Lax1
Rcl1
Jak2
Tspan5
2310022B05Rik
Gm15283
Msantd2
Txndc12
Phtf1os
Myl6
Dnajb2
Pcyox1
Rassf3
1700021A07Rik
Ttll12
Nefh
Arhgap26.1
Gm9993
Hmox1
Map7
Parp6
Rps10
Akr1b3
Grk6
Adamts6
Socs5
Eif4ebp2
Scoc
D930030I03Rik
Polr1e
Pam
Tnnt1
Gm11579
Pold2
Vipas39
Tex10
Ndufs8
Psma6
Gnl1
Bri3bp
Tcf20
Man2c1os
Acp5
Gm47882
Zc3h12d
Otud7b
H2-DMa
Gm11973
Azin1
Acyp1
Dancr
Tnfaip8l2
Zfp65
Ddx27
Arid2
Hspa9
Bub3
Hivep2
Scfd2
Tfam
Btbd19
Pdcd4
Hddc2
Calhm6
Pten
Naprt
Ssr2
Gm17055
Zfp763
Pcyox1l
Smpdl3b
Nlrp1b
Sigirr
Pifo
Nprl3
Idh3g
Taco1
Irf3
Gm44148
Slc14a1
Clpb
Ndufv2
Nrn1
Nudt22
Gm39556
Zfp654
mt-Rnr2
Aasdh
Lef1os1
Cltb
Gm13611
Bend3
Prps2
Lhpp
5730405O15Rik
Ggt5
Dcun1d2
Oaf
Gigyf2
Gm10550
Cd1d1
Trdv2-2
Slc25a43
Tmprss3
Fgf2
Ddx50
2810403D21Rik
Nme2
Btf3
Prdx1
Qpct
Slc25a39
Plk2
Slc25a42
Ctns
Clasp2
Dtwd1
Pced1a
Sarnp
mt-Nd2
Oxld1
Rbm5
Rps6ka3
Tmco6
Chrac1
Ikbkb
Gdi2
Pdk3
Dglucy
5830444B04Rik
Amer1
Mypop
Mphosph9
Selenos
Ergic1
Gm10175
1110032F04Rik
Trappc6a
Slc25a29
Fsd2
Pycrl
Yipf2
Tatdn3
Mtif3
Usp6nl
Nckap1l
Gfm1
Ppp2r3d
Psmd11
Gm8189
Ly9
Gapdh
Gm4316
Phlpp1
Atp9b
Acsl1
Popdc2
Hbs1l
Gm44066
Igf2bp3
Nanos1
Ppif
Pptc7
Mmaa
Bin2
Rpl21-ps8
Pnisr
Trbv1
Mettl3
Tnfrsf22
Tmem131
Spock2
Cdk4
Trav12-2
Ube2v2
Tsen2
Stk38
Apex1
Ssbp1
Trbv12-1
Trpm7
Tcp1
Elmod3
Cog8
Nup210
Pop5
4933406I18Rik
Rnf167
Gpatch1
Ube2d2a
Gm37033
Trnau1ap
Rad23a
Nipsnap2
Med8
Slc35e2
Selenoh
Nt5dc3
Uck2
Klhdc2
Phactr2
Ece1
Nfia
Zc3h6
Tmem106c
4933439C10Rik
Mgmt
Psmg1
Gm15706
Zfp169
Atad3a
Nasp
Gm31814
Tubb2b
Tcf4
Klhl5
Scnm1
Fam49b
0610009B22Rik
Zbtb20
Gm26759
Hsph1
Zfp64
Thap12
Ube2q2
Lnx2
Gadd45a
Gtf2ird2
Atp5g1
Lpar5
Rbmxl1
Fam193a
Cul4b
Gm47015
Chd3
Wipf1
Camk2b
Arhgap4
1810041H14Rik
Hnrnpf
Ccdc43
Tnfrsf26
Wdr25
Thoc2l
Dok6
Serpinb6b
Znrd1as
Gm25099
Gm4332
Cox10
C1qbp
D330050I16Rik
Rangrf
Ppan
4930549G23Rik
Tpx2
Tspan3
Swi5
Zpbp
Ccl27a
Mylip
Rfc1
Malat1
Rps17
Eef1g
Pycard
Ugcg
Etv6
Atad2b
Stt3b
Mllt3
Frat2
Gon4l
Trrap
Rab11b
Aktip
Sfswap
Heatr1
Rassf2
Ppcdc
Dph1
Zfp60
Zfp597
Sumf2
Celsr1
Klrd1
Cpne7
Nop16
Zfp831
Wdr74
Ppp4r1
Egr2
Zmym4
Baz2b
Ilf3
Asnsd1
Zfp810
Nek9
Cblb
Zdhhc5
H3f3a
Rbm10
Hs3st3b1
Ints11
Trbj2-1
mt-Nd4
Lmtk2
Alg10b
Rnf38
Mthfd1
Zmym5
Ube2k
Txn2
Cmah
Fubp1
Ifit2
Lrrc1
Tmcc1
Pgd
Tmem71
