Il13
Frmd4b
S100a6
Gpx4
Gm11714
Tnfrsf4
Pkig
Gm5127
F2r
Oma1
Fermt3
Rpl27a
Phldb3
Rpl9
Lpp
Pde4a
Ddx21
Fbxw17
Casp8
Adk
Spry1
Tespa1
Dipk2a
Maf
Pld3
Elf1
Tpt1
Ifngr2
Zfp971
Prnp
Rad50
Jund
Pcmt1
Nedd9
B9d2
Rasgrp1
Babam2
Gm45223
Suox
Camkmt
Diaph3
Phf21b
Ldha
Cdc42se2
Ephx4
Tmem91
Adora2b
Rps20
Ubash3b
Smarcc2
Tmem237
H2-D1
Pold4
Mdh1
Gm44198
Gm47599
Cd44
Neu3
A330040F15Rik
Irf5
Vmp1
Tet2
Erlin1
Gm26802
Ptov1
Hspa4
H2-T23
Zfp53
Nek7
Sp110
Fastkd3
Plekhg3
Mtres1
Gtpbp6
Scrn2
A230083N12Rik
Abhd16a
Ddr1
Gm2a
B3galt2
Gas5
Arhgap15
Arl1
Cep192
Pros1
Tbc1d9b
Trav1
St6gal1
H1f2
L1cam
Lyrm4
Hspbp1
Flot1
Rap1b
Mylpf
Nme1
Trav16d-dv11
Pttg1ip
Chst11
Trappc10
Tm6sf1
Fam118b
Nadk
Cx3cr1
Gm47050
Gfi1
Slc39a11
Mrpl30
Taf9b
Cox16
Ei24
Bivm
Sema6d
Il27ra
Gng12
Synj1
Tbl1xr1
Zfp972
Klhdc8b
Plod3
Sptb
Trbv14
Lmf2
Fam57b
Hif1a
Hmox2
H2-Oa
S100a1
Birc3
Gnai3
Bax
Pin4
Sidt2
Tnfaip3
Ywhab
Gm11532
Itgb1
Hpgds
Nucb2
Slx4
Ksr1
Pitrm1
Dhx40
Hcfc2
Ccnt2
Traf6
Chchd5
Gm17745
Rb1
Plscr1
Tlk1
Arl14ep
Ccdc184
Picalm
Slc25a4
Zc3hav1
Arrb2
Arhgef6
Uqcrh
Arhgef7
Gm37472
Nfs1
2210016L21Rik
Acadl
Khdc4
Crtap
Senp1
Zbtb38
Rapgef2
Rab9
Parp2
Tmem250-ps
Trim12c
Egr3
Fam217b
Gpr15
Arl13b
Slc25a3
Trbv29
Cnot6l
2310002F09Rik
H2-Ke6
Fuca2
Tlr1
Pcsk1
Gm16008
Rbms3
Gm14305
H2-M3
Ap1s3
Tpra1
Itgav
Snrnp25
Zc3h10
Ranbp3
Itprid2
Gpx7
Rnf5
Ikbip
Tnfsf10
Ydjc
Evi5
Sae1
Rpl36a
Ggta1
Eif3e
Rabac1
Tmem30a
Actr1a
Slc9a1
Calhm2
Efcab14
Pip4p1
Apbb2
Sos2
Atxn10
Borcs5
Bmi1
Atg9b
Pgam5
Hibadh
Mir142hg
Rab31
Dgcr6
Cuedc2
H2-T22
Snx10
Tmem208
Dcakd
Rnf41
Bcap31
Lcmt1
Acsl5
Sdf2
Uqcc2
Bcl2a1d
Atp13a3
Kdm6b
Cdkn2c
Churc1
Septin8
H2-Q4
Ttc39b
Bop1
Sugp2
Tmem181a
Gipc1
Slc48a1
Ip6k1
Fam102a
Ccdc50
Pacsin1
Elk1
Trav3-4
Mapkbp1
Gm49041
Ddit4
Htra2
Dynll1
Gm17090
Lrp10
Magt1
Cotl1
Tusc3
Crk
Zdhhc21
Rps18
Slc35a1
Npm1
Glipr2
Tmem242
Cisd2
Tmem219
Slc29a1
Tnfsf11
Lmna
Gatd1
Slc38a7
Tor1b
Spn
Malt1
Gm49735
Cnrip1
Ctdspl
Brk1
Sec23b
Alox8
Map3k5
Gm5148
Bcl2a1b
Zfp101
Exoc7
Ptgfrn
Endov
Zfp667
Zc3h18
Pla2g12a
Gpr25
Eif4ebp1
Cycs
Fam98c
Ptprc
Stxbp2
Pign
Lrrc58
E230029C05Rik
Inpp5e
Cryzl1
Slc38a10
Zxdc
Ms4a6c
Abhd6
Nt5c3
Kif16b
Ankrd27
Srp68
Ctbp1
Ssr4
Gm11998
Gas2l3
Zfp1
Tnip3
Trpm4
Gm15726
Atf1
Rab11a
Ide
Celf1
Zfp607a
Ubxn2b
Zfp276
Tspan31
Pcbp4
C1qtnf12
Gga1
Tpm3
Mtx2
Trgc2
Pnkd
Cltb
Slc36a1
Psmg1
Brd8
Hcfc1r1
Kbtbd3
2300009A05Rik
Med11
Polr3e
Icam4
Cog7
Zfand6
Ubb
Nr2c1
Yy1
Slc39a10
Crlf2
Tm9sf3
Tkt
H2-Q7
Rnase4
Mtrr
Srebf2
P4hb
Tsix
Grhl1
Kif19a
Ncor2
Smarcb1
Il15
Lair1
Esyt1
Dusp11
Car7
L3mbtl2
Rara
Cops9
Fxyd5
Sh3bp1
Nfu1
Cfl2
Cdkn2d
AB124611
Sirt5
Atp2c1
Caml
Tnfaip1
Erc1
Smarca2
Mier2
Eral1
Fmc1
Trappc6b
Ttc37
Ccdc69
Ugp2
Rasal3
Eef1d
Klf10
2610507B11Rik
Fam168a
Atic
Dnajc13
Cfdp1
Csnk1g3
Ybx3
Tmbim1
D630039A03Rik
Tmem140
Tnpo3
Osbpl3
Erap1
Emc4
Sdr39u1
Apobec1
Micu2
Dnpep
4930523C07Rik
Vti1b
Prkar2b
Rsrp1
Akr1c13
Hspa2
Psat1
Kcnn4
E2f4
Gpr107
Rap1a
Rpl22
Uros
Arl4a
Kmt2c
Kat2b
Mospd3
Spidr
Neat1
Chsy1
Adcy7
Ttll4
Smim26
Lamp1
Mettl9
Sting1
Capza2
Elof1
Gse1
Zzef1
Fem1b
Gm43430
Jazf1
Nfxl1
Plekha7
Jak3
0610038B21Rik
Traj18
Zfp580
Gna14
Trav16n
Spg7
Hip1
Dapp1
Pex2
Trim27
Ndrg1
Bcl7c
Gm34086
Rab39b
Gm17251
Abhd11
Impdh1
Ctnna1
Phtf2
Igsf8
Gm20696
Jade3
Akr7a5
Csgalnact1
Trav6-3
Ppp1r15a
Faim
Bdp1
Gga2
Ccdc162
9330136K24Rik
Susd1
Gla
Mid1
6720489N17Rik
Atxn7l2
Orai2
Grb2
Ralb
Ap3m2
Med12
Rpl7a
AA467197
Btbd2
Hsdl2
Ube4a
Pdcl
Chmp5
Cops4
Cops2
Rpusd4
Dpf2
Hexb
Slc7a1
Tfeb
Abhd5
Eif2a
Ttpal
Chic2
Use1
Meis3
Ccar1
Ddx23
Plcb3
Yif1b
Sorbs1
Cyren
Rhbdd2
Stxbp1
Fosb
Pts
Mfsd13a
Psma1
Fbxl12
Chd7
Cflar
Skap2
Smpd5
Akap11
Trav7-3
Rragc
Gm14455
Synrg
Gm9118
Npepl1
Mmachc
Cdc26
Nsun2
Rpl4
Tpi1
Ralbp1
Mrpl57
Eif2d
Rsrc2
Dnajb6
Vps29
Ric8a
Eif4e3
Zfp706
Adprhl2
Kifap3
Rtn3
Clcn5
Ubxn2a
Rps27l
Kat2a
Cpt1a
Dbnl
Crebzf
Nabp1
Rnf40
Dnajb12
Ccdc47
Tfap4
Ywhaz
Ubxn11
Tmem205
Rbpj-ps3
Map2k2
Pxmp4
Atat1
1110038B12Rik
AI467606
Ifi30
Cd4
Itgb3bp
Srcap
Taf1d
Bad
Ncstn
Cmtm3
0610012G03Rik
Rgs16
Cyb5d2
Arhgap5
Usp21
Cenpv
Wdr26
Gpc1
Gm48585
N4bp2
Mvp
Atpsckmt
Afdn
Bcl2l13
Btd
Ptp4a2
Gm20492
Med25
Zfp622
Gm14295
Ebpl
Ndufs1
Eif3i
Arhgef12
Ehd4
Stam
Gmip
Fbxo3
Atg16l2
Tubb5
Tubd1
Sec63
Ube2h
Rpl5
Bst2
Ddb1
E130311K13Rik
Acsl4
Vps37c
Commd10
Copb1
Bcl3
Chid1
G6pc3
Khsrp
Tep1
Vps33b
Cep70
Mvk
2510039O18Rik
Smim19
Clec2d
Rptor
1700096K18Rik
Ccdc51
Akap8l
Ciz1
Atp6v0a1
Tdg
Spag9
Tpgs1
Rpl36al
Eif3l
Gm3448
Hacd3
Nup50
Nab2
Trav14n-3
Lrwd1
Ppp1r18
Gm26510
Rnpc3
Pitpnm1
1700056E22Rik
Ddx24
Platr25
Fdx1
Nrd1
Gnb1
Mrpl52
Irf2
Gm20689
Aldh16a1
Rbis
Dgki
Tspan4
Arf3
Ube2b
Tmem209
Gm9800
Gm7846
Syne2
Agpat4
Zbtb21
Fnip1
Flywch1
Rfc2
Apmap
Cct7
Mettl8
Txn1
Sertad2
Arfrp1
Mapre3
B3gnt2
Max
Selenot
Prdx3
Cntrl
Trav9-4
Cilk1
Tbcb
Mapk8ip3
Iscu
Atp8b2
Nle1
Grina
Dusp6
Coq2
Ncoa3
Atp8a1
Polr2i
