Il17a
Il21r
Apol7e
Slk
Ets1
Klf13
Endog
Adrb2
Plekhg1
Uqcrfs1
Gm47283
Stat3
Chd7
Gpr65
Senp5
Pde3b
Dot1l
Rnf113a2
Braf
Rab11fip1
Litaf
Tmem191c
St6galnac2
Ccr4
Zhx2
Galnt10
Ralgps2
Crip1
Nfkbie
Thy1
Ctnnb1
Ldlrad4
Gpcpd1
Cdon
Flvcr1
Gm4258
Crbn
Rps4l
Bex3
Wdyhv1
Atp2b4
Itgal
Gtdc1
Slc3a2
Arhgap26.1
Usp38
Sqle
Akirin1
St6galnac3
Ubfd1
Tmem50b
Gem
Impdh2
Hlf
Rassf1
Ptbp1
Hnrnpl
Card19
Ppp2cb
Fchsd2
Sertad1
Madd
Ppp1r14c
Tomm20
Klrb1f
Ubl3
Mapkapk3
Plekha5
Hmgcs1
Pja1
Txnl1
Mcrip2
Pmepa1
Pdcd6ip
Entpd7
Mir155hg
Itga4
Serinc1
Tuba4a
Arl5b
Oga
Ppp2r2a
Smap2
Smurf1
H2ac5-ps
Epdr1
Cacybp
Smim3
1700016P03Rik
Tprn
Plk3
Plcxd2
Kcnmb4os2
Stard3nl
Crybg1
Rasgrp2
Fnbp1
Nabp1
Lrrc42
Nop53
Uqcrc1
Tprgl
Sin3b
Tmem65
Fbxo32
Cep170
Runx3
Tagap
Celf2
Homer1
Mien1
Rala
Traf7
Calm2
Acot2
B4galt1
Rbm33
Rbm39
Adam12
Mkrn1
Eif4g2
Hivep1
Atp6v1c1
Oser1
1700012B07Rik
Ccnyl1
Ago2
C9orf72
Atp2b1
Gstz1
Rasl11a
Naa30
Mgst3
Smdt1
Simc1
Rnh1
Zfand6
Ehd3
Tgfb1
Vgll4
Apol7b
Birc3
Urb2
Acsbg1
Ubn1
Zfand5
Taf5
Gm47015
Irak3
Lncpint
Socs1
Tiparp
Dbf4
Ccnl1
Lin54
Dgke
Nipal1
Trav13n-1
Abhd2
Itgb3
Rsrc2
Polr2m
Ccdc82
Wsb1
St6galnac6
Ppp1r16b
Cpd
Trim44
Cbarp
Atp6v0b
Dnajb6
BC018473
Fam192a
Gm50397
Vax2
mt-Nd2
Yrdc
Il1rl2
Hspa5
Xlr
Rfxap
BC031181
Hexim1
Sqstm1
Smarca5
Cyp4f16
Arih2
Snap47
Arnt
Diaph1
Kmt2a
Fam76b
Ino80
Fes
Mxi1
Rasgef1b
Sec22a
Crmp1
Leng1
Nsd3
Man1b1
Cyth4
Bcl2l11
Fryl
Isoc1
Klf2
Il18rap
Cdk17
Gtf2b
Qrfp
Etv3
Ttc19
As3mt
Josd1
Irak2
Pcgf5
Ppm1d
Rpl28
Col4a3bp
Mbp
Pafah1b1
Ankrd13c
Timm23
Spag9
Snai3
Rhoq
Snx5
Txndc11
Arih1
Susd2
Ddx47
Nfkb2
Ahnak
Polr3f
Ppfia1
Kifbp
Med1
Stat4
Gm16214
Kcnc1
Yes1
Supt6
Ncl
Stip1
Wdr36
Errfi1
Prr5l
Ubxn1
Nrbf2
Med13
Scaf11
Zfp110
Cd101
Slc25a28
Marchf7
Mafk
Leo1
Pecam1
Rad21
Ggt7
Txnrd1
Topors
Dock10
Dyrk2
Jmjd1c
Antxr2
Sik3
Efr3a
Cd96
Gas5
Tab2
Slc30a1
Zscan21
Gm33104
Srsf7
Ppp2ca
Endod1
Rexo5
Atxn7
Smg7
Edem1
Zxdc
Bbx
Slc16a10
Ccdc50
Acat1
Traf4
Pabpc1
Qpct
Stx1a
Gm12256
Bpnt1
Gm44851
Zswim6
Atraid
Snx16
Glg1
Pin1
Rsrp1
Tasor2
Uxt
Arhgef10
Fxr1
Jaml
Slc7a1
Znrf2
Jtb
Plek
Tet2
Mex3c
Clp1
Gm37352
Mapk14
Lysmd2
Clta
Chchd1
Spef2
Sdc4
Ranbp2
Etf1
Dnajb9
Cox6a1
Tob1
Tshz1
Pwwp2a
Arntl
Hnrnpa0
Pik3r5
Specc1l
Mad2l1
Snhg1
Il2
Cd69
Pfkp
Gm12764
Rai1
Nfkbib
Clec12a
Map4k4
Zfp689
Plpp2
Mphosph6
Fus
Zmiz1
Prelid2
Pogk
Bcl2a1c
Vars
Ston2
Chd2
Inppl1
Pmaip1
Rrm1
Ogfr
Tmem106b
Cish
Kctd2
Epb41l4aos
Ramp1
Myh9
2410002F23Rik
Fbrsl1
Asf1a
Usp4
Prrt1
Zfp871
Stn1
Tsc22d1
Tdrkh
Plekhf1
Zadh2
Mier1
Fbxl12
Foxo1
Casp8ap2
Entpd6
Ppt2
Macroh2a1
Reep4
Pygb
Mrto4
Hsp90aa1
Ift46
Srp54c
Hist1h2ap
Safb2
Map3k1
Runx1
Uap1
Ptges3
Atg101
Rnf19a
Sde2
Cep78
Paip2b
Cstb
Mon2
Fam124b
